4/20/2014,Station Name,Street Address,Intersection Directions,City,State,ZIP,Station Phone,Status Code,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Open Date,EV Connector Types
ELEC,UM PTS,646 W Pratt St,,Baltimore,MD,21201,888-758-4389,E,Public,24 hours daily,2,2,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.2863138,-76.6251238,4/20/2014,43195,2014-04-20 07:53:52 UTC,,,NEMA520 J1772
ELEC,"Walgreens - Lutherville, MD #12847",1801 York Road,,Lutherville,MD,21093,800-663-5633,E,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,39.4306377,-76.6208506,4/20/2014,42725,2014-04-20 07:30:39 UTC,,,J1772
ELEC,Lynchburg Nissan,18588 Forest Rd,,Forest,VA,24551,434-385-7733,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,37.386097,-79.244054,5/25/2013,47555,2014-01-20 19:01:28 UTC,P,1/31/2012,J1772
ELEC,I-64 East Rest Stop,I-64 E and VA-155,I-64 between milepost 214 and 213 in Virginia,Providence Forge,VA,23140,800-367-7623,E,Public,24 hours daily,4,,,Shorepower,http://www.shorepower.com/,GPS,37.499039,-77.04316,12/31/2013,35167,2014-01-20 18:54:15 UTC,SG,6/1/2012,NEMA520
ELEC,"Walgreens - Bel Air, MD #12748",1201 East Churchville Rd,,Bel Air,MD,21014,800-663-5633,E,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,39.5416769,-76.3300768,4/20/2014,42980,2014-04-20 07:30:39 UTC,,,J1772
ELEC,JBG - Choke Cherry - Rockville MD,1 Choke Cherry Road,,Rockville,MD,20850,888-998-2546,E,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,Blink Network,http://www.blinknetwork.com/,GPS,39.112689,-77.185113,4/20/2014,48399,2014-04-20 07:12:06 UTC,,,J1772
ELEC,JBG - Security Lane - Rockville MD,5515 Security Lane,,Rockville,MD,20852,888-998-2546,E,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,Blink Network,http://www.blinknetwork.com/,GPS,39.041786,-77.111975,4/20/2014,47705,2014-04-20 07:09:37 UTC,,,J1772
ELEC,TOWSON,Cross Campus Dr,,Towson,MD,21252,888-758-4389,E,Public,24 hours daily,4,4,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.390911,-76.6076425,4/20/2014,51985,2014-04-20 08:04:29 UTC,,,NEMA520 J1772
ELEC,WOLF TRAP,1645 Trap Rd,,Vienna,VA,22182,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.9334297,-77.2649689,4/20/2014,41298,2014-04-20 07:52:20 UTC,,,NEMA520 J1772
ELEC,Alamo Drafthouse,20575 E Hampton Plaza,,Ashburn,VA,20147,703-293-6828,E,Public,24 hours daily,,2,,,,GPS,39.051411,-77.45425,12/31/2013,53997,2014-01-20 19:00:47 UTC,P,10/1/2013,J1772
ELEC,Bob Bell Ford,7125 Ritchie Hwy,,Glen Burnie,MD,21061,800-604-6303,E,Public,Dealership business hours,,1,,,,200-8,39.179728,-76.613981,12/31/2013,53865,2014-01-20 19:11:33 UTC,P,9/1/2013,J1772
ELEC,Union Station Garage L2,300 Massachusetts Ave NE,"CarCharging Group, Inc. Level 2 (yellow), row 2D, space 2199",Washington,DC,20002,888-758-4389,E,Public - Credit card at all times,Restricted to garage hours; pay lot; also accept ChargePoint and evCharge cards,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.89686857,-77.00604224,11/30/2013,40420,2014-01-20 18:44:35 UTC,P,6/30/2011,NEMA520 J1772
ELEC,James River Air Conditioning,1905 Westmoreland St,At Broad St,Richmond,VA,23230,804-358-9333,E,Public,24 hours daily,,1,,,,GPS,37.578536,-77.48754,12/31/2012,40255,2014-01-20 18:35:28 UTC,P,6/20/2011,J1772
ELEC,CARCHARGING,1050 Connecticut Ave NW,,Washington,DC,20036,888-758-4389,E,Public,24 hours daily,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.9032437,-77.0414326,4/20/2014,56101,2014-04-20 07:38:22 UTC,,,J1772
ELEC,Severn Building,5245 Greenbelt Road,,College Park,MD,20740,800-663-5633,E,Public,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.9980404,-76.9199156,4/20/2014,40022,2014-04-20 07:30:48 UTC,,,J1772
ELEC,Sheehy Nissan of Mechanicsville,6564 Mechanicsville Pike,,Mechanicsville,VA,23111,804-417-1012,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,37.6131927,-77.3355689,5/25/2013,47561,2014-01-20 18:28:27 UTC,P,1/31/2012,J1772
ELEC,"Walgreens - Bel Air, MD #11999",1927 Emmorton Rd,,Bel Air,MD,21015,800-663-5633,E,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,39.5019452,-76.3265292,4/20/2014,42979,2014-04-20 07:30:39 UTC,,,J1772
ELEC,UMD COLLEGEPARK,4116-4138 Mowatt Ln,,College Park,MD,20740,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.9822044,-76.9461288,4/20/2014,38866,2014-04-20 07:49:54 UTC,,,NEMA520 J1772
ELEC,LIFEBRIDGE,2401 West Belvedere Ave,,Baltimore,MD,21215,888-758-4389,E,Public,24 hours daily,2,2,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.352624,-76.661965,4/20/2014,49576,2014-04-20 07:53:57 UTC,,,J1772 NEMA520
ELEC,Tischer Nissan,3510 Ft Meade Rd,,Laurel,MD,20724,301-498-3322,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,39.1010445,-76.8216711,4/4/2014,47700,2014-04-04 19:15:34 UTC,P,1/31/2012,J1772
ELEC,350GREEN,3801 Liberty Heights Ave,,Baltimore,MD,21215,888-758-4389,E,Public,24 hours daily,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.3270035,-76.6816483,4/20/2014,43440,2014-04-20 07:39:52 UTC,,,J1772
ELEC,I-64 West Rest Stop,I-64 W and VA-155,I-64 between milepost 214 and 213 in Virginia,Providence Forge,VA,23140,800-367-7623,E,Public,24 hours daily,4,,,Shorepower,http://www.shorepower.com/,GPS,37.498704,-77.04348,12/31/2013,35168,2014-01-20 18:54:15 UTC,SG,9/22/2009,NEMA520
ELEC,Pomoco Nissan of Hampton,1134 W Mercury Blvd,,Hampton,VA,23666,757-838-6111,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,37.0422664,-76.3885183,5/25/2013,39768,2014-01-20 18:42:34 UTC,P,3/15/2011,J1772
ELEC,LAID,4961 Telsa Drive Suite A,,BOWIE,MD,20715,800-663-5633,E,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.9571728,-76.7074433,4/20/2014,58597,2014-04-20 07:30:52 UTC,,,J1772
ELEC,SOLAR SERVICES,877 Seahawk Cir,,Virginia Beach,VA,23452,888-758-4389,E,Public,24 hours daily,2,2,,ChargePoint Network,http://www.mychargepoint.net/,200-8,36.8129161,-76.0636075,4/20/2014,37180,2014-04-20 07:46:46 UTC,,,NEMA520 J1772
ELEC,Waldorf Ford,2440 Crain Hwy,,Waldorf,MD,20601,301-843-2400,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,38.6431409,-76.8928591,5/31/2013,51989,2014-01-20 19:15:24 UTC,P,1/4/2013,J1772
ELEC,BALTIMORE CITY,805 S Caroline St,,Baltimore,MD,21231,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.2815132,-76.5963593,4/20/2014,40006,2014-04-20 07:51:51 UTC,,,NEMA520 J1772
ELEC,Duncan Ford Lincoln,125 Jennelle Rd,,Blacksburg,VA,24060,888-698-3530,E,Public - Call ahead,Dealership business hours,,1,,,,GPS,37.179806,-80.411408,12/31/2013,54001,2014-01-20 18:52:41 UTC,P,9/1/2013,J1772
ELEC,Sheehy Ford Lincoln,10601 Midlothian Tpk,,Midlothian,VA,23235,804-794-0500,E,Public,Dealership business hours,,1,,,,200-8,37.505641,-77.59248,12/31/2013,53954,2014-01-20 18:52:40 UTC,P,9/1/2013,J1772
ELEC,Whole Foods Market,1800 Laskin Rd,,Virginia Beach,VA,23454,757-422-0444,E,Public,8am-9pm daily,,2,,,,200-8,36.850515,-76.028014,12/31/2013,53963,2014-01-20 18:55:17 UTC,P,8/1/2013,J1772
ELEC,Malloy Mitsubishi,14655 Jefferson Davis Hwy,,Woodbridge,VA,22191,703-494-9121,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,38.634094,-77.270248,12/31/2013,53966,2014-01-20 18:57:50 UTC,P,10/1/2013,J1772
ELEC,MEDL GB EVCS,200 Orchard Ridge Dr,,Gaithersburg,MD,20878,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.127886,-77.2342035,4/20/2014,51085,2014-04-20 07:55:30 UTC,,,J1772 NEMA520
ELEC,Ashland Garage,900 N Washington St,,Baltimore,MD,21213,800-663-5633,E,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,4,,SemaCharge Network,http://www.semacharge.com/,GPS,39.303423,-76.5898861,4/20/2014,53563,2014-04-20 07:30:42 UTC,,,J1772
ELEC,Twin Towers Garage,1100 Wilson Blvd,,Arlington,VA,22209,703-247-0761,E,Public,Garage business hours; pay lot,,2,,,,200-8,38.8943818,-77.0705712,12/31/2013,53996,2014-01-20 18:55:17 UTC,P,10/1/2013,J1772
ELEC,Apple Ford Lincoln,8800 Stanford Blvd,,Columbia,MD,21045,866-699-0789,E,Public,Dealership business hours,,4,,,,200-8,39.187501,-76.817087,12/31/2013,53864,2014-01-20 18:55:15 UTC,P,8/1/2013,J1772
ELEC,eVgo - Queenstown Premium Outlets,441 Outlet Center Dr,,Queenstown,MD,21658,877-455-3833,E,Public - Card key at all times,24 hours daily; eVgo network subscription and key fob required,1,1,1,eVgo Network,https://www.evgonetwork.com/,GPS,38.98236,-76.15832,,61095,2014-04-07 19:59:15 UTC,T,3/28/2014,CHADEMO NEMA520 J1772
ELEC,Virginia Museum of Transportation,303 Norfolk Ave SW,Corner of Third Street and Norfolk Avenue in downtown Roanoke; EVSE located at front of museum.,Roanoke,VA,24016,540-342-5670,E,Public - Credit card at all times,24 hours daily; museum is open 10am-5pm M-Sat and 1am-5pm Sun,,1,,,,GPS,37.272917,-79.945869,5/25/2013,40861,2014-01-20 18:25:14 UTC,P,8/31/2011,J1772
ELEC,Building F,7203 E Sundown Ct,,Frederick,MD,21702,800-663-5633,E,Public,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,2,,SemaCharge Network,http://www.semacharge.com/,GPS,39.455196,-77.416746,4/20/2014,40024,2014-04-20 07:30:37 UTC,,,J1772
ELEC,PRIME ST GRILLE,4680 Crain Hwy,,White Plains,MD,20695,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.583313,-76.948967,4/20/2014,40439,2014-04-20 07:51:41 UTC,,,NEMA520 J1772
ELEC,INDIAN HEAD,4195 Indian Head Hwy,,Indian Head,MD,20640,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.5995331,-77.1644974,4/20/2014,44938,2014-04-20 07:57:39 UTC,,,J1772 NEMA520
ELEC,777,1746-1800 Wilson Blvd,,Arlington,VA,22209,888-758-4389,E,Public,24 hours daily,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.8938242,-77.0788931,4/20/2014,53471,2014-04-20 08:02:56 UTC,,,J1772
